allotrope,r,elements,G(r),type
alpha,1.395,BAg,0,NNP
alpha,1.395,AgAg,0,NNP
alpha,1.405,BB,0,NNP
alpha,1.405,BAg,0,NNP
alpha,1.405,AgAg,0,NNP
alpha,1.415,BB,0,NNP
alpha,1.415,BAg,0,NNP
alpha,1.415,AgAg,0,NNP
alpha,1.425,BB,0,NNP
alpha,1.425,BAg,0,NNP
alpha,1.425,AgAg,0,NNP
alpha,1.435,BB,0,NNP
alpha,1.435,BAg,0,NNP
alpha,1.435,AgAg,0,NNP
alpha,1.445,BB,0,NNP
alpha,1.445,BAg,0,NNP
alpha,1.445,AgAg,0,NNP
alpha,1.455,BB,0,NNP
alpha,1.455,BAg,0,NNP
alpha,1.455,AgAg,0,NNP
alpha,1.465,BB,0,NNP
alpha,1.465,BAg,0,NNP
alpha,1.465,AgAg,0,NNP
alpha,1.475,BB,0,NNP
alpha,1.475,BAg,0,NNP
alpha,1.475,AgAg,0,NNP
alpha,1.485,BB,0,NNP
alpha,1.485,BAg,0,NNP
alpha,1.485,AgAg,0,NNP
alpha,1.495,BB,2.7410257402431503e-5,NNP
alpha,1.495,BAg,0,NNP
alpha,1.495,AgAg,0,NNP
alpha,1.505,BB,1.2167563267323138e-4,NNP
alpha,1.505,BAg,0,NNP
alpha,1.505,AgAg,0,NNP
alpha,1.515,BB,3.135474344902519e-4,NNP
alpha,1.515,BAg,0,NNP
alpha,1.515,AgAg,0,NNP
alpha,1.525,BB,8.88856008701734e-4,NNP
alpha,1.525,BAg,0,NNP
alpha,1.525,AgAg,0,NNP
alpha,1.535,BB,0.0025994231231772306,NNP
alpha,1.535,BAg,0,NNP
alpha,1.535,AgAg,0,NNP
alpha,1.545,BB,0.005786070100369612,NNP
alpha,1.545,BAg,0,NNP
alpha,1.545,AgAg,0,NNP
alpha,1.555,BB,0.01202534698777806,NNP
alpha,1.555,BAg,0,NNP
alpha,1.555,AgAg,0,NNP
alpha,1.565,BB,0.022631514261601246,NNP
alpha,1.565,BAg,0,NNP
alpha,1.565,AgAg,0,NNP
alpha,1.575,BB,0.04376417496403682,NNP
alpha,1.575,BAg,0,NNP
alpha,1.575,AgAg,0,NNP
alpha,1.585,BB,0.07775417260655014,NNP
alpha,1.585,BAg,0,NNP
alpha,1.585,AgAg,0,NNP
alpha,1.595,BB,0.12487274600492941,NNP
alpha,1.595,BAg,0,NNP
alpha,1.595,AgAg,0,NNP
alpha,1.605,BB,0.190614322166324,NNP
alpha,1.605,BAg,0,NNP
alpha,1.605,AgAg,0,NNP
alpha,1.615,BB,0.27305725112960777,NNP
alpha,1.615,BAg,0,NNP
alpha,1.615,AgAg,0,NNP
alpha,1.625,BB,0.3717341777783611,NNP
alpha,1.625,BAg,0,NNP
alpha,1.625,AgAg,0,NNP
alpha,1.635,BB,0.48242407588822955,NNP
alpha,1.635,BAg,0,NNP
